age,gender,state,race,educational_attainment,occupation
16,Female,Wisconsin/WI,White alone,Associate's degree,EDU-Preschool And Kindergarten Teachers
16,Female,California/CA,Korean alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Texas/TX,White; Some Other Race,Regular high school diploma,CLN-Maids And Housekeeping Cleaners
18,Female,Pennsylvania/PA,White alone,"Some college, but less than 1 year","CON-Plumbers, Pipefitters, And Steamfitters"
18,Female,North Carolina/NC,White alone,Master's degree,EDU-Elementary And Middle School Teachers
16,Female,California/CA,Some Other Race alone,12th grade - no diploma,SAL-Cashiers
16,Female,Louisiana/LA,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Pennsylvania/PA,Asian Indian alone,Bachelor's degree,"SCI-Physical Scientists, All Other"
16,Female,Kentucky/KY,Black or African American alone,"1 or more years of college credit, no degree",OFF-Customer Service Representatives
16,Female,Virginia/VA,Black or African American alone,"1 or more years of college credit, no degree",SAL-Cashiers
18,Female,Alabama/AL,Black or African American alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,West Virginia/WV,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,North Carolina/NC,White alone,Master's degree,CMS-Substance Abuse And Behavioral Disorder Counselors
16,Female,Ohio/OH,Black or African American alone,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,California/CA,White alone,Bachelor's degree,EDU-Secondary School Teachers
18,Female,Illinois/IL,White; American Indian and Alaska Native,Regular high school diploma,PRD-Other Assemblers And Fabricators
19,Female,California/CA,Some Other Race alone,Regular high school diploma,"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop"
18,Female,Louisiana/LA,White alone,Associate's degree,"MIL-Military, Rank Not Specified"
21,Female,Alabama/AL,Black or African American alone,Master's degree,EDU-Secondary School Teachers
16,Female,Texas/TX,White alone,12th grade - no diploma,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
18,Female,Pennsylvania/PA,Some Other Race alone,Regular high school diploma,CLN-Janitors And Building Cleaners
17,Female,New York/NY,White alone,"1 or more years of college credit, no degree","PRS-Hairdressers, Hairstylists, And Cosmetologists"
18,Female,California/CA,White alone,"Some college, but less than 1 year",TRN-Other Rail Transportation Workers
20,Female,New York/NY,White alone,Bachelor's degree,OFF-Statistical Assistants
16,Female,Ohio/OH,White alone,Bachelor's degree,LGL-Paralegals And Legal Assistants
21,Female,Maryland/MD,Black or African American alone,Grade 9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Virginia/VA,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New York/NY,White alone,Associate's degree,HLS-Nursing Assistants
16,Female,California/CA,Other Asian alone,Bachelor's degree,MED-Miscellaneous Health Technologists and Technicians
18,Female,Pennsylvania/PA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Florida/FL,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Illinois/IL,White; Some Other Race,Bachelor's degree,MGR-Industrial Production Managers
17,Female,California/CA,Some Other Race alone,Associate's degree,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
20,Female,California/CA,White alone,Master's degree,MGR-Chief Executives And Legislators
16,Female,Ohio/OH,White alone,Bachelor's degree,MED-Registered Nurses
18,Female,North Carolina/NC,American Indian and Alaska Native alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,North Carolina/NC,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Texas/TX,White; Black or African American; American Indian and Alaska Native,GED or alternative credential,"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping"
19,Female,California/CA,Some Other Race alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Texas/TX,White alone,Regular high school diploma,RPR-Industrial And Refractory Machinery Mechanics
17,Female,Texas/TX,White; Some Other Race,Regular high school diploma,PRD-Bakers
17,Female,Delaware/DE,White alone,Associate's degree,TRN-Driver/Sales Workers And Truck Drivers
17,Female,Kentucky/KY,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,North Carolina/NC,Black or African American alone,"1 or more years of college credit, no degree","TRN-Laborers And Freight, Stock, And Material Movers, Hand"
21,Female,Kansas/KS,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,New York/NY,White alone,Associate's degree,MGR-Chief Executives And Legislators
17,Female,Georgia/GA,Black or African American alone,Bachelor's degree,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
16,Female,Florida/FL,Black or African American alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Texas/TX,White; Some Other Race,Regular high school diploma,EAT-Waiters And Waitresses
16,Female,Minnesota/MN,White alone,Professional degree beyond a bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,White alone,"1 or more years of college credit, no degree",MGR-Other Managers
18,Female,Florida/FL,White alone,Associate's degree,MGR-Construction Managers
18,Female,Pennsylvania/PA,White alone,1,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Florida/FL,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Texas/TX,White alone,"Some college, but less than 1 year","SAL-Sales And Related Workers, All Other"
19,Female,Washington/WA,White alone,Grade 9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,California/CA,Some Other Race alone,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,California/CA,Some Other Race alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Louisiana/LA,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Illinois/IL,White alone,Bachelor's degree,MGR-Financial Managers
19,Female,Indiana/IN,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Arizona/AZ,Some Other Race alone,"Some college, but less than 1 year",CLN-Landscaping And Groundskeeping Workers
18,Female,New Jersey/NJ,White; Filipino,Bachelor's degree,"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products"
17,Female,Mississippi/MS,White alone,1,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
18,Female,Mississippi/MS,White alone,Bachelor's degree,CMM-Software Developers
20,Female,Pennsylvania/PA,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Florida/FL,White alone,Regular high school diploma,PRT-Security Guards And Gambling Surveillance Officers
21,Female,Louisiana/LA,Black or African American alone,1,EDU-Preschool And Kindergarten Teachers
20,Female,Indiana/IN,White alone,Bachelor's degree,MGR-Medical And Health Services Managers
16,Female,California/CA,White; Black or African American; Some Other Race,Bachelor's degree,PRT-Police Officers
16,Female,Texas/TX,White alone,Bachelor's degree,EAT-Fast Food And Counter Workers
16,Female,Indiana/IN,White alone,Master's degree,ENT-Other Designers
16,Female,Washington/WA,White alone,"1 or more years of college credit, no degree",OFF-Customer Service Representatives
16,Female,Missouri/MO,White alone,Master's degree,OFF-Receptionists And Information Clerks
19,Female,California/CA,White alone,Bachelor's degree,ENG-Mechanical Engineers
19,Female,Pennsylvania/PA,White alone,Regular high school diploma,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
19,Female,Missouri/MO,White alone,Regular high school diploma,HLS-Nursing Assistants
16,Female,New York/NY,White alone,Master's degree,ENT-Music Directors and Composers
21,Female,California/CA,White alone,Regular high school diploma,HLS-Home Health Aides
16,Female,Texas/TX,White alone,"Some college, but less than 1 year","OFF-Production, Planning, And Expediting Clerks"
18,Female,Illinois/IL,White alone,Grade 11,CON-Electricians
21,Female,Michigan/MI,White alone,"1 or more years of college credit, no degree",SAL-Real Estate Brokers And Sales Agents
18,Female,Oklahoma/OK,Some Other Race alone,"1 or more years of college credit, no degree",PRD-Cutting Workers
18,Female,Washington/WA,White alone,1,MGR-General And Operations Managers
20,Female,Tennessee/TN,Black or African American alone,Master's degree,"TRN-Packers And Packagers, Hand"
16,Female,Texas/TX,Other Asian alone,"1 or more years of college credit, no degree",MGR-Food Service Managers
18,Female,Minnesota/MN,White alone,Bachelor's degree,MGR-Other Managers
17,Female,Nebraska/NE,White; American Indian and Alaska Native,Regular high school diploma,EAT-Food Preparation Workers
18,Female,Massachusetts/MA,White alone,Associate's degree,MED-Licensed Practical And Licensed Vocational Nurses
16,Female,New Mexico/NM,American Indian and Alaska Native alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Connecticut/CT,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New York/NY,White alone,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Texas/TX,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Pennsylvania/PA,White alone,Master's degree,EDU-Teaching Assistants
18,Female,New York/NY,White alone,Regular high school diploma,MGR-Medical And Health Services Managers
20,Female,Arkansas/AR,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New York/NY,White alone,"1 or more years of college credit, no degree",CLN-Landscaping And Groundskeeping Workers
17,Female,Virginia/VA,White alone,Bachelor's degree,MGR-Construction Managers
17,Female,Virginia/VA,Black or African American alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Tennessee/TN,White alone,"1 or more years of college credit, no degree",SAL-First-Line Supervisors Of Retail Sales Workers
16,Female,New York/NY,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,California/CA,Some Other Race alone,8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Pennsylvania/PA,Black or African American alone,Regular high school diploma,TRN-Stockers And Order Fillers
20,Female,New York/NY,White alone,"1 or more years of college credit, no degree",OFF-Customer Service Representatives
17,Female,Arizona/AZ,White; Some Other Race,Regular high school diploma,"RPR-Maintenance And Repair Workers, General"
17,Female,New York/NY,Some Other Race alone,Associate's degree,HLS-Physical Therapist Assistants And Aides
16,Female,Texas/TX,White alone,Bachelor's degree,BUS-Management Analysts
17,Female,Maine/ME,White alone,Bachelor's degree,ENT-Coaches and Scouts
21,Female,Maine/ME,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,South Carolina/SC,White alone,Doctorate degree,"SCI-Physical Scientists, All Other"
16,Female,North Carolina/NC,Black or African American alone,"Some college, but less than 1 year",HLS-Nursing Assistants
20,Female,North Carolina/NC,White alone,"1 or more years of college credit, no degree","CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers"
16,Female,North Carolina/NC,Asian Indian alone,Bachelor's degree,"CMM-Computer Occupations, All Other"
16,Female,Texas/TX,American Indian and Alaska Native; Asian groups; and/or Native Hawaiian and Other Pacific Islander groups; and/or Some Other Race,"1 or more years of college credit, no degree","OFF-Bookkeeping, Accounting, And Auditing Clerks"
17,Female,New York/NY,Other Asian; Some Other Race,Regular high school diploma,"CON-Plumbers, Pipefitters, And Steamfitters"
20,Female,Georgia/GA,White; Japanese,"1 or more years of college credit, no degree",CLN-Janitors And Building Cleaners
21,Female,New Jersey/NJ,White alone,"Some college, but less than 1 year",SAL-Real Estate Brokers And Sales Agents
16,Female,Wisconsin/WI,White alone,Regular high school diploma,OFF-Customer Service Representatives
16,Female,Texas/TX,White; Some Other Race,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Mississippi/MS,Black or African American alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Kentucky/KY,White; American Indian and Alaska Native,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Texas/TX,White alone,Associate's degree,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
18,Female,California/CA,White alone,Bachelor's degree,"MGR-Property, Real Estate, And Community Association Managers"
16,Female,California/CA,White alone,"Some college, but less than 1 year",RPR-Home Appliance Repairers
18,Female,California/CA,Black or African American alone,"Some college, but less than 1 year",HLS-Personal Care Aides
17,Female,Virginia/VA,American Indian and Alaska Native alone,Bachelor's degree,CMM-Computer Systems Analysts
18,Female,Minnesota/MN,White alone,Bachelor's degree,"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel"
17,Female,South Carolina/SC,White alone,Grade 9,"RPR-Maintenance And Repair Workers, General"
17,Female,South Carolina/SC,White; Some Other Race,Grade 10,CLN-Landscaping And Groundskeeping Workers
21,Female,Idaho/ID,White alone,Master's degree,MGR-Chief Executives And Legislators
16,Female,Idaho/ID,White alone,"1 or more years of college credit, no degree","OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
16,Female,New Jersey/NJ,White; Some Other Race,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New York/NY,White alone,Regular high school diploma,EAT-Food Preparation Workers
18,Female,District of Columbia/DC,Black or African American alone,Grade 11,CLN-Maids And Housekeeping Cleaners
17,Female,Oregon/OR,White alone,"Some college, but less than 1 year",TRN-Cleaners Of Vehicles And Equipment
16,Female,Texas/TX,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Pennsylvania/PA,White; Black or African American,Master's degree,"SCI-Physical Scientists, All Other"
20,Female,California/CA,White alone,Regular high school diploma,PRT-Police Officers
16,Female,North Carolina/NC,White; Some Other Race,Associate's degree,"CON-Plumbers, Pipefitters, And Steamfitters"
17,Female,Texas/TX,White alone,"1 or more years of college credit, no degree",SAL-Cashiers
17,Female,South Carolina/SC,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Mississippi/MS,White alone,Grade 9,TRN-Driver/Sales Workers And Truck Drivers
17,Female,California/CA,White alone,Regular high school diploma,CON-Construction And Building Inspectors
20,Female,Illinois/IL,White alone,"1 or more years of college credit, no degree",MGR-Medical And Health Services Managers
17,Female,Wisconsin/WI,White alone,Regular high school diploma,RPR-Industrial And Refractory Machinery Mechanics
16,Female,California/CA,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Rhode Island/RI,White alone,Regular high school diploma,TRN-Driver/Sales Workers And Truck Drivers
19,Female,North Carolina/NC,White alone,Associate's degree,OFF-Receptionists And Information Clerks
19,Female,Illinois/IL,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Pennsylvania/PA,White alone,Bachelor's degree,BUS-Project Management Specialists
19,Female,Texas/TX,Other Asian alone,Bachelor's degree,MGR-Other Managers
16,Female,Kentucky/KY,White alone,Regular high school diploma,MED-Dietetic Technicians And Ophthalmic Medical Technicians
17,Female,California/CA,Black or African American alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,District of Columbia/DC,Black or African American alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,District of Columbia/DC,White alone,Doctorate degree,CMM-Software Developers
19,Female,Delaware/DE,White alone,Associate's degree,ENG-Electrical And Electronic Engineering Technologists And Technicians
16,Female,New York/NY,Some Other Race alone,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Virginia/VA,White alone,Associate's degree,MED-Registered Nurses
21,Female,Oklahoma/OK,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,New York/NY,White alone,Bachelor's degree,OFF-Proofreaders And Copy Markers
18,Female,Maryland/MD,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Georgia/GA,Black or African American alone,Bachelor's degree,OFF-First-Line Supervisors Of Office And Administrative Support Workers
17,Female,Missouri/MO,White alone,Master's degree,MGR-Education And Childcare Administrators
17,Female,Rhode Island/RI,White alone,Bachelor's degree,BUS-Management Analysts
18,Female,New Jersey/NJ,White alone,"1 or more years of college credit, no degree",SAL-Cashiers
16,Female,Arizona/AZ,White alone,Master's degree,MGR-General And Operations Managers
19,Female,Indiana/IN,White alone,Bachelor's degree,MED-Registered Nurses
16,Female,Utah/UT,White alone,Regular high school diploma,"OFF-Interviewers, Except Eligibility And Loan"
20,Female,Texas/TX,Some Other Race alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Illinois/IL,White alone,Bachelor's degree,"SAL-Sales Representatives, Wholesale And Manufacturing"
19,Female,Florida/FL,American Indian and Alaska Native alone,GED or alternative credential,"CON-Carpet, Floor, And Tile Installers And Finishers"
21,Female,California/CA,White alone,Associate's degree,MED-Psychiatric Technicians
16,Female,Colorado/CO,White alone,"1 or more years of college credit, no degree",CMM-Software Developers
16,Female,Wisconsin/WI,White; Black or African American,Regular high school diploma,CON-Elevator And Escalator Installers And Repairers
19,Female,Texas/TX,White alone,"Some college, but less than 1 year",EDU-Teaching Assistants
18,Female,California/CA,White alone,Regular high school diploma,"PRS-Hairdressers, Hairstylists, And Cosmetologists"
16,Female,Georgia/GA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Montana/MT,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Illinois/IL,White alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Arizona/AZ,White alone,Associate's degree,MED-Registered Nurses
17,Female,Wisconsin/WI,White alone,1,TRN-Driver/Sales Workers And Truck Drivers
16,Female,Florida/FL,Black or African American alone,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,White alone,GED or alternative credential,EAT-Cooks
18,Female,Arizona/AZ,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New York/NY,White alone,Grade 7,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,New York/NY,Black or African American alone,Associate's degree,MGR-Construction Managers
16,Female,Pennsylvania/PA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Wisconsin/WI,White alone,"1 or more years of college credit, no degree",FIN-Personal Financial Advisors
17,Female,Iowa/IA,White alone,Bachelor's degree,MGR-Medical And Health Services Managers
21,Female,New York/NY,White; Some Other Race,12th grade - no diploma,"BUS-Wholesale And Retail Buyers, Except Farm Products"
17,Female,Florida/FL,White alone,Professional degree beyond a bachelor's degree,MED-Registered Nurses
19,Female,New York/NY,White alone,Associate's degree,MED-Dental Hygienists
19,Female,Ohio/OH,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Massachusetts/MA,White; Some Other Race,Associate's degree,OFF-Customer Service Representatives
20,Female,California/CA,White; Some Other Race,Regular high school diploma,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
19,Female,California/CA,American Indian and Alaska Native alone,Regular high school diploma,MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members
21,Female,Florida/FL,White; Chinese; Native Hawaiian,Master's degree,EDU-Other Educational Instruction and Library Workers
16,Female,Nevada/NV,White alone,Doctorate degree,EDU-Postsecondary Teachers
19,Female,Pennsylvania/PA,White alone,Regular high school diploma,HLS-Orderlies and Psychiatric Aides
17,Female,Arizona/AZ,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Pennsylvania/PA,White alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Kentucky/KY,Some Other Race alone,"1 or more years of college credit, no degree","TRN-Laborers And Freight, Stock, And Material Movers, Hand"
18,Female,Oregon/OR,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Pennsylvania/PA,White alone,"Some college, but less than 1 year","OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
19,Female,Illinois/IL,White; Some Other Race,"Some college, but less than 1 year",OFF-Other Financial Clerks
18,Female,Mississippi/MS,White alone,Regular high school diploma,"SAL-Sales Representatives, Wholesale And Manufacturing"
17,Female,Georgia/GA,White alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Maryland/MD,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Florida/FL,White; Some Other Race,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Texas/TX,White alone,Bachelor's degree,MED-Registered Nurses
18,Female,Nebraska/NE,White alone,"Some college, but less than 1 year",MGR-Facilities Managers
19,Female,Alabama/AL,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Arizona/AZ,White alone,Bachelor's degree,BUS-Management Analysts
20,Female,Florida/FL,White alone,Regular high school diploma,ENG-Aerospace Engineers
16,Female,Louisiana/LA,White; Some Other Race,Regular high school diploma,EAT-Cooks
18,Female,Oklahoma/OK,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Idaho/ID,White alone,Associate's degree,SAL-Parts Salespersons
16,Female,Oregon/OR,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,New Jersey/NJ,White alone,Regular high school diploma,OFF-Receptionists And Information Clerks
16,Female,Ohio/OH,White; Some Other Race,Regular high school diploma,PRD-Other Assemblers And Fabricators
16,Female,Illinois/IL,White alone,GED or alternative credential,HLS-Personal Care Aides
18,Female,Florida/FL,White alone,Associate's degree,"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers"
18,Female,Florida/FL,Black or African American alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Tennessee/TN,White; Black or African American,"Some college, but less than 1 year",OFF-Customer Service Representatives
17,Female,Montana/MT,White alone,"Some college, but less than 1 year",EAT-Waiters And Waitresses
18,Female,Pennsylvania/PA,White alone,Regular high school diploma,BUS-Market Research Analysts And Marketing Specialists
16,Female,Massachusetts/MA,White alone,Grade 11,PRS-Childcare Workers
16,Female,Minnesota/MN,White alone,Bachelor's degree,EDU-Elementary And Middle School Teachers
16,Female,Maryland/MD,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Ohio/OH,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Texas/TX,White alone,Grade 10,PRT-Security Guards And Gambling Surveillance Officers
18,Female,Georgia/GA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Colorado/CO,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Texas/TX,White alone,Master's degree,EDU-Elementary And Middle School Teachers
19,Female,Texas/TX,Black or African American alone,Master's degree,MED-Registered Nurses
16,Female,Pennsylvania/PA,White alone,"1 or more years of college credit, no degree",OFF-Bill And Account Collectors
18,Female,New Jersey/NJ,White alone,Regular high school diploma,"RPR-Maintenance And Repair Workers, General"
17,Female,Georgia/GA,White alone,Regular high school diploma,FFF-Other Agricultural Workers
18,Female,Florida/FL,Filipino alone,Bachelor's degree,CMM-Web Developers
17,Female,Texas/TX,Black or African American alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Arkansas/AR,White; Some Other Race,"1 or more years of college credit, no degree",CON-Carpenters
16,Female,Georgia/GA,White alone,Regular high school diploma,OFF-Other Office And Administrative Support Workers
16,Female,Maryland/MD,White alone,Bachelor's degree,MGR-Other Managers
21,Female,Utah/UT,White alone,Bachelor's degree,EDU-Elementary And Middle School Teachers
17,Female,New Mexico/NM,White alone,"1 or more years of college credit, no degree",TRN-Stockers And Order Fillers
16,Female,Indiana/IN,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Virginia/VA,Some Other Race alone,9,CON-Construction Laborers
16,Female,Ohio/OH,White alone,Doctorate degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,New York/NY,White; American Indian and Alaska Native; Some Other Race,12th grade - no diploma,HLS-Personal Care Aides
20,Female,California/CA,White alone,Regular high school diploma,PRS-Childcare Workers
19,Female,Texas/TX,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Texas/TX,White; Some Other Race,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,Some Other Race alone,1,TRN-Industrial Truck And Tractor Operators
16,Female,Nebraska/NE,Some Other Race alone,Master's degree,RPR-Industrial And Refractory Machinery Mechanics
17,Female,Washington/WA,Korean alone,Regular high school diploma,MGR-Other Managers
16,Female,West Virginia/WV,White alone,Regular high school diploma,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
17,Female,Ohio/OH,Some Other Race alone,Grade 10,EAT-Dining Room And Cafeteria Attendants And Bartender Helpers
16,Female,North Carolina/NC,Black or African American alone,Regular high school diploma,"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers"
18,Female,California/CA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Washington/WA,White; Some Other Race,"1 or more years of college credit, no degree",SAL-First-Line Supervisors Of Non-Retail Sales Workers
18,Female,Georgia/GA,White alone,Bachelor's degree,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
17,Female,North Carolina/NC,White alone,Bachelor's degree,"SAL-Sales Representatives, Wholesale And Manufacturing"
16,Female,Pennsylvania/PA,White alone,Regular high school diploma,PRD-First-Line Supervisors Of Production And Operating Workers
17,Female,Arizona/AZ,White alone,Regular high school diploma,CLN-Landscaping And Groundskeeping Workers
19,Female,New Jersey/NJ,Asian Indian alone,Bachelor's degree,EDU-Preschool And Kindergarten Teachers
16,Female,Texas/TX,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Missouri/MO,Black or African American alone,Grade 7,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Illinois/IL,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Arizona/AZ,Chinese alone,Doctorate degree,ENG-Chemical Engineers
18,Female,Texas/TX,White; Some Other Race,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Colorado/CO,White alone,Master's degree,BUS-Management Analysts
17,Female,South Carolina/SC,White alone,Regular high school diploma,MGR-Emergency Management Directors
19,Female,California/CA,Some Other Race alone,Bachelor's degree,CMM-Computer Systems Analysts
