gender,educational_attainment,occupation,industry,race,employment_status,state,age,annual_income_usd,weekly_work_hours,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Female,Grade 9,TRN-Stockers And Order Fillers,RET-Clothing And Clothing Accessories Retailers,Black or African American alone,"Civilian employed, at work",Arizona/AZ,20,5000,18,2.42,0.56,7.39,7.58,1.43
Female,1,HLS-Home Health Aides,RET-Clothing And Clothing Accessories Retailers,Some Other Race alone,"Civilian employed, at work",Florida/FL,20,4000,20,0.93,4.96,4.18,3.1,1.64
Female,6,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Louisiana/LA,19,0,0,8.97,8.65,2.58,9.21,1.68
Female,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White; Black or African American,"Civilian employed, at work",Maryland/MD,20,12000,30,9.0,1.24,6.04,0.96,1.9
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Alabama/AL,18,0,0,6.33,6.52,5.17,2.81,6.6
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MFG-Printing And Related Support Activities,White alone,"Civilian employed, at work",Texas/TX,23,5000,40,3.39,4.28,3.36,0.63,8.31
Female,Regular high school diploma,EDU-Teaching Assistants,"PRF-Architectural, Engineering, And Related Services",White alone,Not in Labor Force,North Carolina/NC,22,30000,40,3.49,0.26,4.25,8.86,3.87
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Wisconsin/WI,19,3000,0,7.26,3.47,5.07,4.02,4.23
Female,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",American Indian and Alaska Native alone,"Civilian employed, at work",Florida/FL,20,6000,32,8.97,5.49,3.6,7.01,2.34
Female,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Outpatient Care Centers,American Indian and Alaska Native alone,"Civilian employed, at work",Arizona/AZ,18,500,2,8.87,4.36,6.57,2.54,1.59
Female,Regular high school diploma,SCI-Occupational Health And Safety Specialists and Technicians,"EDU-Other Schools And Instruction, And Educational Support Services",White alone,Not in Labor Force,Florida/FL,20,1500,0,7.8,6.0,8.87,7.11,8.93
Female,Bachelor's degree,"TRN-Packers And Packagers, Hand","MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Chamorro alone,"Civilian employed, at work",Maryland/MD,23,70000,40,6.42,7.59,1.19,6.89,6.03
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),SCA-Child Care Services,White alone,"Civilian employed, at work",South Carolina/SC,19,1000,12,0.84,6.22,8.42,3.32,5.59
Female,Regular high school diploma,HLS-Phlebotomists,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),White alone,"Civilian employed, at work",New Jersey/NJ,21,32000,30,1.62,8.8,3.45,1.8,1.88
Female,1,MGR-Other Managers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,South Dakota/SD,18,0,0,8.99,2.29,0.53,1.06,4.97
Female,"Some college, but less than 1 year",CMM-Software Developers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",North Carolina/NC,18,3000,18,6.06,8.95,6.18,6.36,8.99
Female,Bachelor's degree,PRS-Animal Caretakers,"PRF-Architectural, Engineering, And Related Services",White alone,"Civilian employed, at work",New York/NY,21,9000,40,0.09,2.49,3.2,8.22,8.34
Female,3,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,20,7000,20,1.01,7.92,2.55,5.74,5.33
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),EDU-Elementary And Secondary Schools,White alone,"Civilian employed, with a job but not at work",Pennsylvania/PA,24,35000,40,6.64,6.64,1.55,6.01,6.53
Female,4,PRT-Police Officers,EDU-Elementary And Secondary Schools,White alone,"Civilian employed, at work",New York/NY,22,4000,20,0.05,5.95,3.49,8.29,7.05
Female,Regular high school diploma,"CMS-Social Workers, All Other",MIL-U.S. Army,White alone,"Armed Forces, At Work",Texas/TX,20,10000,40,1.61,3.45,5.06,1.3,2.49
Female,Associate's degree,SAL-Cashiers,EDU-Elementary And Secondary Schools,White alone,"Civilian employed, at work",California/CA,21,10000,20,5.49,0.28,6.4,4.72,6.63
Female,Doctorate degree,OFF-Customer Service Representatives,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Rhode Island/RI,19,25000,0,6.92,5.36,5.4,2.5,9.78
Female,Regular high school diploma,MGR-Other Managers,"RET-Automotive Parts, Accessories, And Tire Retailers",White alone,"Civilian employed, at work",Texas/TX,19,11000,25,6.52,6.65,8.38,5.66,9.0
Female,Associate's degree,ENT-Writers And Authors,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,California/CA,19,0,0,2.24,3.37,0.13,9.53,7.45
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"WHL-Miscellaneous Durable Goods, Except Recyclable Material, Merchant Wholesalers",White alone,"Civilian employed, at work",Hawaii/HI,19,6500,16,7.12,6.28,6.55,5.15,8.49
Female,"1 or more years of college credit, no degree",EDU-Preschool And Kindergarten Teachers,MED-Outpatient Care Centers,White alone,Not in Labor Force,Florida/FL,21,0,0,2.37,2.04,9.47,9.99,4.55
Female,Regular high school diploma,HLS-Other Healthcare Support Workers,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White; American Indian and Alaska Native,"Civilian employed, at work",Indiana/IN,19,12500,14,3.25,6.03,1.59,9.29,9.77
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),White alone,"Civilian employed, at work",North Carolina/NC,24,57440,45,7.46,2.07,5.45,4.05,3.17
Female,Bachelor's degree,CON-Construction Laborers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Minnesota/MN,20,0,0,6.5,0.72,0.67,9.44,1.48
Female,Associate's degree,CMM-Computer Network Architects,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White; Some Other Race,Not in Labor Force,Massachusetts/MA,18,0,0,8.49,9.06,8.22,6.0,1.52
Female,Regular high school diploma,PRT-Other Protective Service Workers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),White alone,Not in Labor Force,Texas/TX,19,8500,30,6.58,2.51,1.65,0.58,3.82
Female,Regular high school diploma,MED-Radiologic Technologists And Technicians,"ENT-Other Amusement, Gambling, And Recreation Industries",White alone,Not in Labor Force,North Carolina/NC,18,1300,20,5.68,0.4,2.0,2.61,0.77
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Indiana/IN,22,0,0,0.94,5.53,2.2,2.71,7.56
Female,Grade 11,CLN-Landscaping And Groundskeeping Workers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,California/CA,18,3600,0,3.68,2.08,5.69,8.84,3.71
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",White alone,Not in Labor Force,North Carolina/NC,19,2600,4,2.65,6.78,5.03,7.65,0.27
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Texas/TX,19,0,0,2.44,2.84,4.74,2.49,2.53
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,California/CA,21,0,0,9.73,4.74,7.37,9.37,2.95
Female,Bachelor's degree,PRS-Animal Caretakers,"PRF-Architectural, Engineering, And Related Services",White alone,"Civilian employed, at work",Michigan/MI,23,75000,45,3.93,5.96,2.31,3.48,6.58
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Other Schools And Instruction, And Educational Support Services",White alone,Not in Labor Force,Pennsylvania/PA,19,0,0,8.92,7.3,2.5,2.83,5.49
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Some Other Race alone,Not in Labor Force,Colorado/CO,20,6000,15,6.31,3.83,9.01,8.14,2.7
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Washington/WA,18,0,0,7.95,0.42,0.19,9.71,4.81
Female,Regular high school diploma,"CMM-Computer Occupations, All Other",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Filipino alone,Not in Labor Force,Florida/FL,19,6800,0,5.03,1.79,8.14,4.59,2.3
Female,"1 or more years of college credit, no degree",MGR-Other Managers,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",Hawaii/HI,19,25000,40,5.77,6.82,6.75,4.34,2.81
Female,"Some college, but less than 1 year",MGR-Chief Executives And Legislators,EDU-Elementary And Secondary Schools,Other Asian alone,"Civilian employed, at work",New York/NY,22,25000,18,4.93,9.19,6.45,7.96,4.05
Female,Grade 9,MIL-First-Line Enlisted Military Supervisors,"MED-Residential Care Facilities, Except Skilled Nursing Facilities",Other Asian alone,"Civilian employed, at work",Texas/TX,18,32000,38,1.95,1.33,2.31,3.48,3.23
Female,GED or alternative credential,MGR-Facilities Managers,"FIN-Credit Unions, And Savings Institutions And Other Depository Credit Intermediation",White alone,"Civilian employed, at work",California/CA,21,36000,40,7.22,4.39,3.56,2.53,7.91
Female,Bachelor's degree,HLS-Nursing Assistants,MED-Offices Of Physicians,White; American Indian and Alaska Native,"Civilian employed, at work",North Carolina/NC,21,35000,40,2.81,8.58,6.0,8.9,0.33
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,Not in Labor Force,Pennsylvania/PA,20,3000,40,0.24,7.56,1.88,0.94,7.43
Female,Regular high school diploma,OFF-Customer Service Representatives,FIN-Activities Related To Real Estate,White alone,"Civilian employed, at work",Wisconsin/WI,21,7500,15,6.45,8.99,0.62,7.82,5.12
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Clothing And Clothing Accessories Retailers,White alone,"Civilian employed, at work",Wisconsin/WI,23,60000,40,1.77,2.72,2.96,2.13,1.07
Female,9,EDU-Secondary School Teachers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Massachusetts/MA,23,0,0,9.4,9.16,7.86,7.79,2.86
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Pharmacies And Drug Retailers,White alone,"Civilian employed, at work",Tennessee/TN,21,5000,20,9.54,4.51,2.55,0.46,8.12
Female,Doctorate degree,"MGR-Transportation, Storage, And Distribution Managers",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Arkansas/AR,19,0,0,9.15,1.95,1.54,6.57,8.48
Female,Bachelor's degree,EAT-Cooks,RET-Shoe Retailers,White alone,"Civilian employed, at work",California/CA,18,12000,15,3.7,5.96,5.23,9.85,2.42
Female,Regular high school diploma,OFF-First-Line Supervisors Of Office And Administrative Support Workers,SRV-Nail Salons And Other Personal Care Services,White alone,"Civilian employed, at work",North Carolina/NC,21,10800,12,0.15,7.41,8.68,1.16,5.47
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White; Some Other Race,Not in Labor Force,South Carolina/SC,23,0,0,9.28,7.35,4.04,3.09,1.4
Female,Associate's degree,"PRS-Personal Care and Service Workers, All Other",MED-Nursing Care Facilities (Skilled Nursing Facilities),White alone,"Civilian employed, at work",New Jersey/NJ,19,17000,40,4.28,6.87,2.84,1.09,3.64
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,"Civilian employed, at work",California/CA,20,30000,40,9.67,2.7,7.63,5.04,9.66
Female,Grade 11,SAL-Cashiers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,24,5000,30,9.64,3.18,9.38,5.77,8.37
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,California/CA,24,0,0,8.53,4.28,3.55,0.78,4.36
Female,Bachelor's degree,CLN-Maids And Housekeeping Cleaners,RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White alone,"Civilian employed, at work",Florida/FL,24,30000,40,2.94,8.91,2.32,5.99,3.39
Female,4,EAT-Food Preparation Workers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Wisconsin/WI,23,0,0,3.85,8.68,3.4,1.15,2.32
Female,Regular high school diploma,MGR-Other Managers,"ENT-Other Amusement, Gambling, And Recreation Industries",White alone,"Civilian employed, at work",Michigan/MI,21,40500,50,8.51,0.76,0.02,4.94,8.92
Female,6,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,New Jersey/NJ,19,9600,24,3.17,5.84,8.59,7.35,7.21
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"SRV-Civic, Social, Advocacy Organizations, And Grantmaking And Giving Services",White alone,"Civilian employed, at work",Virginia/VA,22,2000,8,1.69,4.85,6.89,9.35,3.29
Female,9,HLS-Medical Assistants,MED-Outpatient Care Centers,White alone,"Civilian employed, at work",California/CA,23,25000,40,5.57,2.35,1.45,4.85,4.67
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),SRV-Nail Salons And Other Personal Care Services,White alone,"Civilian employed, at work",Iowa/IA,22,50000,40,9.36,0.63,7.41,3.95,7.97
Female,"Some college, but less than 1 year",MED-Registered Nurses,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",Black or African American alone,"Civilian employed, at work",New Jersey/NJ,23,17500,30,6.96,4.14,4.52,3.67,6.75
Female,Bachelor's degree,SAL-Cashiers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Hawaii/HI,21,1100,0,5.7,3.93,2.18,0.15,0.48
Female,"1 or more years of college credit, no degree",HLS-Veterinary Assistants And Laboratory Animal Caretakers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,South Carolina/SC,21,1100,14,0.97,5.45,8.6,1.43,0.24
Female,Regular high school diploma,TRN-Passenger Attendants,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Arkansas/AR,20,8000,16,6.15,1.7,9.01,5.5,2.04
Female,Bachelor's degree,EDU-Elementary And Middle School Teachers,"MFG-Animal Food, Grain And Oilseed Milling",White alone,"Civilian employed, at work",Georgia/GA,21,6000,25,9.9,1.89,7.61,3.07,5.13
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,Not in Labor Force,Kentucky/KY,18,1000,10,1.4,6.92,0.37,5.0,1.32
Female,6,EDU-Postsecondary Teachers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Black or African American alone,Not in Labor Force,Pennsylvania/PA,20,0,0,5.18,8.59,6.92,5.2,0.63
Female,"1 or more years of college credit, no degree",MGR-Other Managers,RET-Other Miscellaneous Retailers,White; Some Other Race,"Civilian employed, at work",Indiana/IN,23,6500,25,8.77,2.79,4.73,0.23,1.41
Female,9,FIN-Credit Counselors And Loan Officers,"RET-Building Material And Supplies Dealers, Except Hardware Retailers",White alone,Not in Labor Force,Massachusetts/MA,22,3000,20,7.41,2.87,9.71,9.22,6.53
Female,Bachelor's degree,CLN-Maids And Housekeeping Cleaners,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Vietnamese alone,Unemployed,California/CA,18,0,0,6.97,7.98,4.29,7.92,4.99
Female,Grade 10,MGR-Social And Community Service Managers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Michigan/MI,19,0,0,7.02,0.28,5.7,7.3,3.29
Female,Doctorate degree,SAL-Cashiers,"MED-Residential Care Facilities, Except Skilled Nursing Facilities",White alone,Not in Labor Force,New Jersey/NJ,22,2600,28,3.59,8.53,1.6,7.77,5.5
Female,12th grade - no diploma,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,"Civilian employed, at work",Florida/FL,18,5000,20,2.94,0.71,3.37,5.59,2.13
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",Maine/ME,24,8500,20,8.09,5.5,1.78,0.09,6.0
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",New Jersey/NJ,22,15600,20,8.1,8.38,9.94,0.78,7.04
Female,Grade 10,MGR-Other Managers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,"Civilian employed, at work",Massachusetts/MA,20,4900,18,8.67,6.47,4.97,6.7,2.57
Female,1,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",White alone,"Civilian employed, at work",Texas/TX,19,10750,15,9.13,2.82,2.71,9.02,8.11
Female,GED or alternative credential,MGR-Computer And Information Systems Managers,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Black or African American alone,"Civilian employed, at work",Oregon/OR,21,30000,20,5.11,7.9,1.94,5.88,8.12
Female,"Some college, but less than 1 year","PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal And Plastic",MED-Offices Of Physicians,Black or African American alone,"Civilian employed, at work",Pennsylvania/PA,23,11600,40,5.02,3.49,0.66,9.37,5.2
Female,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Black or African American alone,Not in Labor Force,Ohio/OH,22,10800,0,7.98,8.22,5.26,8.78,3.03
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Missouri/MO,21,0,0,6.5,9.26,2.04,4.22,8.11
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ENT-Food Services And Drinking Places, except Alcoholic Beverages",White alone,"Civilian employed, at work",California/CA,20,15000,20,7.02,9.08,3.9,1.16,3.86
Female,Regular high school diploma,SAL-Retail Salespersons,RET-Pharmacies And Drug Retailers,Black or African American alone,Not in Labor Force,North Carolina/NC,22,0,0,7.96,0.92,7.5,1.47,0.13
Female,Associate's degree,MGR-Medical And Health Services Managers,"FIN-Securities, Commodities, Funds, Trusts, And Other Financial Investments",Filipino alone,Not in Labor Force,Pennsylvania/PA,20,8000,0,8.9,4.67,2.15,1.56,9.86
Female,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"PRF-Services To Buildings And Dwellings, Except Landscaping Services",Some Other Race alone,Unemployed,California/CA,19,0,0,3.38,8.48,3.4,0.47,6.23
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Specialty Food Retailers,Chinese alone,"Civilian employed, at work",Oregon/OR,19,1100,14,3.76,1.99,5.1,8.93,7.54
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Physicians,White alone,"Civilian employed, at work",California/CA,24,70000,40,0.94,9.76,1.02,9.6,9.37
Female,"1 or more years of college credit, no degree",SAL-Cashiers,"EDU-Junior Colleges, Colleges, Universities, And Professional Schools",Black or African American alone,"Civilian employed, at work",Georgia/GA,19,6800,30,5.78,7.3,1.3,3.15,4.84
Female,"1 or more years of college credit, no degree",SAL-Real Estate Brokers And Sales Agents,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Ohio/OH,20,0,0,0.36,3.42,5.97,4.79,1.67
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Not Specified Retail Trade,White alone,"Civilian employed, at work",California/CA,23,8000,20,4.66,2.69,9.08,9.0,6.36
Female,Bachelor's degree,MED-Dental Hygienists,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Florida/FL,20,0,0,5.43,8.94,4.23,0.69,9.15
Female,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),PRF-Legal Services,White alone,"Civilian employed, at work",Massachusetts/MA,19,33300,40,2.87,6.45,5.78,2.62,6.01
Female,Regular high school diploma,OFF-Receptionists And Information Clerks,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",Some Other Race alone,"Civilian employed, with a job but not at work",Virginia/VA,21,30000,20,5.91,8.37,9.24,8.46,3.61
Female,"1 or more years of college credit, no degree",EDU-Elementary And Middle School Teachers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Georgia/GA,18,0,0,0.31,7.27,0.29,0.18,4.01
Female,Bachelor's degree,CON-Carpenters,EDU-Elementary And Secondary Schools,Some Other Race alone,"Civilian employed, at work",Washington/WA,24,25000,50,0.37,6.32,7.98,0.42,1.15
Female,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,New York/NY,22,0,0,8.23,6.77,6.28,5.22,2.02
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Tennessee/TN,23,0,0,3.6,1.71,7.71,3.9,3.78
Female,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),RET-Supermarkets And Other Grocery (Except Convenience) Retailers,White alone,"Civilian employed, at work",California/CA,18,10000,24,1.27,9.93,8.56,7.64,4.25
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"PRF-Accounting, Tax Preparation, Bookkeeping, And Payroll Services",White alone,"Civilian employed, at work",California/CA,23,70600,40,5.22,4.16,4.97,5.27,3.52
Female,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MFG-Printing And Related Support Activities,White alone,"Civilian employed, at work",California/CA,23,30000,80,7.7,0.75,3.66,1.64,4.06
Female,6,CLN-Landscaping And Groundskeeping Workers,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Korean alone,Not in Labor Force,California/CA,22,0,0,2.16,6.62,2.42,7.85,8.75
Female,8,"PRS-Personal Care and Service Workers, All Other",RET-Furniture And Home Furnishings Retailers,White alone,"Civilian employed, at work",Wisconsin/WI,21,45000,40,6.23,8.65,6.81,1.38,1.01
Female,Doctorate degree,LGL-Paralegals And Legal Assistants,"RET-Sporting Goods, And Hobby, Toy, And Game Retailers",White alone,Not in Labor Force,Indiana/IN,20,1500,20,0.85,0.52,5.72,1.13,1.77
Female,4,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive",ADM-Executive Offices And Legislative Bodies,White alone,"Civilian employed, at work",Georgia/GA,23,48000,40,0.52,7.64,5.15,3.08,8.1
Female,"1 or more years of college credit, no degree",RPR-Automotive Body And Related Repairers,SRV-Beauty Salons,White alone,"Civilian employed, at work",Hawaii/HI,19,3000,25,5.31,1.81,9.24,9.09,6.63
Female,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Oklahoma/OK,18,0,0,5.41,0.42,7.29,1.23,5.04
Female,Associate's degree,OFF-Couriers And Messengers,"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",Asian Indian alone,"Civilian employed, at work",Ohio/OH,18,10000,20,6.37,1.92,2.32,3.56,7.42
Female,Bachelor's degree,MED-Medical Records Specialists,TRN-Warehousing And Storage,White alone,"Civilian employed, at work",Georgia/GA,22,35000,40,7.26,0.42,4.34,7.01,6.97
Female,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),SCA-Child Care Services,Black or African American alone,"Civilian employed, at work",Alabama/AL,24,10000,32,9.76,0.59,3.47,6.6,4.31
Female,Regular high school diploma,EDU-Other Teachers and Instructors,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),White alone,Not in Labor Force,Pennsylvania/PA,20,0,0,5.16,1.35,7.48,2.46,0.19
Female,1,"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",RET-Pharmacies And Drug Retailers,Black or African American alone,"Civilian employed, at work",Michigan/MI,22,20000,28,3.23,5.33,3.53,5.9,5.89
Female,Associate's degree,MGR-General And Operations Managers,"ENT-Museums, Historical Sites, And Similar Institutions",White alone,Not in Labor Force,Mississippi/MS,23,10000,20,7.95,0.96,8.27,8.57,5.9
Female,6,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"ADM-Justice, Public Order, And Safety Activities",White; Some Other Race,"Civilian employed, at work",North Carolina/NC,18,7000,72,2.71,4.31,6.45,9.91,8.88
Female,Associate's degree,CLN-Maids And Housekeeping Cleaners,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",White alone,"Civilian employed, at work",South Carolina/SC,20,8000,15,4.39,4.94,1.86,5.46,1.66
Female,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),EDU-Elementary And Secondary Schools,White alone,"Civilian employed, at work",California/CA,20,1400,7,0.78,3.31,8.92,9.05,2.42
Female,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),MED-Offices Of Dentists,Black or African American alone,"Civilian employed, at work",New York/NY,21,36000,40,0.25,7.22,4.16,9.94,9.73
